Destination Port,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Min Packet Length,Max Packet Length,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWE Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Avg Fwd Segment Size,Avg Bwd Segment Size,Fwd Header Length.1,Fwd Avg Bytes/Bulk,Fwd Avg Packets/Bulk,Fwd Avg Bulk Rate,Bwd Avg Bytes/Bulk,Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,Init_Win_bytes_forward,Init_Win_bytes_backward,act_data_pkt_fwd,min_seg_size_forward,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,attack_probability,anomaly_score,risk_score,priority,true_label
59365,9199,2,1,280,6,274,6,140.0,189.5046174,6,6,6.0,0.0,31090.33591,326.1224046,4599.5,6385.881341,9115,84,9199,9199.0,0.0,9199,9199,0,0.0,0.0,0,0,1,0,0,0,40,20,217.4149364,108.7074682,6,274,140.0,154.7298721,23941.33333,0,1,0,0,1,0,0,0,0,186.6666667,140.0,6.0,40,0,0,0,0,0,0,2,280,1,6,60,0,1,20,0.0,0.0,0,0,0.0,0.0,0,0,2.0900596e-05,-0.1291671694290579,17.9,,0
80,3003198,3,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.998935135,1501599.0,710725.7537,2004158,999040,3003198,1501599.0,710725.7537,2004158,999040,0,0.0,0.0,0,0,0,0,0,0,120,0,0.998935135,0.0,0,0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,120,0,0,0,0,0,0,3,0,0,0,29200,-1,0,40,0.0,0.0,0,0,0.0,0.0,0,0,0.9990558,-0.1609747713176161,52.2,,1
80,98249925,7,6,341,11595,335,0,48.71428571,126.259936,5792,0,1932.5,2537.820147,121.4860978,0.132315623,8187493.75,28400000.0,98200000,1,98200000,16400000.0,40100000.0,98200000,1,3636,727.2,1325.028754,3092,48,0,0,0,0,220,200,0.071246874,0.061068749,0,5792,852.5714286,1851.111131,3426612.418,0,0,0,0,1,0,0,0,0,918.1538462,48.71428571,1932.5,220,0,0,0,0,0,0,7,341,6,11595,251,235,2,20,4.0,0.0,4,4,98200000.0,0.0,98200000,98200000,0.999997,0.1046677142155317,99.5,,1
53,153595,2,2,70,138,35,35,35.0,0.0,69,69,69.0,0.0,1354.210749,26.0425144,51198.33333,88595.84218,153500,47,48,48.0,0.0,48,48,47,47.0,0.0,47,47,0,0,0,0,40,64,13.0212572,13.0212572,35,69,48.6,18.62256696,346.8,0,0,0,0,0,0,0,0,1,60.75,35.0,69.0,40,0,0,0,0,0,0,2,70,2,138,-1,-1,1,20,0.0,0.0,0,0,0.0,0.0,0,0,1.388351e-06,-0.2284710688479125,0.2,,0
443,75863089,17,20,1975,8392,789,0,116.1764706,251.5191929,1460,0,419.6,608.921255,136.6540717,0.487720715,2107308.028,3932353.709,9999428,46,69200000,4324216.313,4898454.642,10000000,250,75800000,3991622.526,4764817.814,10000000,48,0,0,0,0,352,484,0.224087896,0.263632819,0,1460,272.8157895,492.6365282,242690.7489,0,0,0,1,0,0,0,0,1,280.1891892,116.1764706,419.6,352,0,0,0,0,0,0,17,1975,20,8392,8192,0,16,20,204593.5,434668.9407,1263971,22161,9278292.625,1304405.172,9999428,6653393,6.392187e-07,-0.0799422783115857,26.7,,0
53,173,2,2,82,178,41,41,41.0,0.0,89,89,89.0,0.0,1502890.173,23121.38728,57.66666667,92.95339334,165,4,4,4.0,0.0,4,4,4,4.0,0.0,4,4,0,0,0,0,64,64,11560.69364,11560.69364,41,89,60.2,26.29068276,691.2,0,0,0,0,0,0,0,0,1,75.25,41.0,89.0,64,0,0,0,0,0,0,2,82,2,178,-1,-1,1,32,0.0,0.0,0,0,0.0,0.0,0,0,5.00496e-06,-0.2273250140439742,0.4,,0
53,250,2,2,64,158,32,32,32.0,0.0,79,79,79.0,0.0,888000.0,16000.0,83.33333333,142.6055165,248,1,1,1.0,0.0,1,1,1,1.0,0.0,1,1,0,0,0,0,64,64,8000.0,8000.0,32,79,50.8,25.7429602,662.7,0,0,0,0,0,0,0,0,1,63.5,32.0,79.0,64,0,0,0,0,0,0,2,64,2,158,-1,-1,1,32,0.0,0.0,0,0,0.0,0.0,0,0,3.1464747e-06,-0.2285842853529694,0.2,,0
53,177006,4,4,164,408,41,41,41.0,0.0,102,102,102.0,0.0,3231.528875,45.19620804,25286.57143,57021.49066,153046,1,176794,58931.33333,102028.765,176744,1,153262,51087.33333,88480.6608,153256,3,0,0,0,0,80,104,22.59810402,22.59810402,41,102,68.11111111,32.14982288,1033.611111,0,0,0,0,0,0,0,0,1,76.625,41.0,102.0,80,0,0,0,0,0,0,4,164,4,408,-1,-1,3,20,0.0,0.0,0,0,0.0,0.0,0,0,3.0795575e-06,-0.211095552128978,3.3,,0
80,134021,2,0,12,0,6,6,6.0,0.0,0,0,0.0,0.0,89.5382067,14.92303445,134021.0,0.0,134021,134021,134021,134021.0,0.0,134021,134021,0,0.0,0.0,0,0,0,0,0,0,40,0,14.92303445,0.0,6,6,6.0,0.0,0.0,0,0,0,0,1,0,0,0,0,9.0,6.0,0.0,40,0,0,0,0,0,0,2,12,0,0,253,-1,1,20,0.0,0.0,0,0,0.0,0.0,0,0,3.2650921e-06,-0.2128656193255619,3.0,,0
80,980,2,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,2040.816327,980.0,0.0,980,980,980,980.0,0.0,980,980,0,0.0,0.0,0,0,0,0,0,0,64,0,2040.816327,0.0,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,64,0,0,0,0,0,0,2,0,0,0,251,-1,0,32,0.0,0.0,0,0,0.0,0.0,0,0,0.999008,-0.2197113807113535,41.7,,1
80,589691,5,7,996,11595,332,0,199.2,181.8438891,4344,0,1656.428571,1547.737688,21351.86055,20.34964074,53608.27273,90841.54905,214000,4,437993,109498.25,120165.7513,214000,4,589683,98280.5,177067.4464,438022,48,0,0,0,0,168,232,8.479016977,11.87062377,0,4344,968.5384615,1345.208944,1809587.103,0,0,0,1,0,0,0,0,1,1049.25,199.2,1656.428571,168,0,0,0,0,0,0,5,996,7,11595,29200,235,3,32,0.0,0.0,0,0,0.0,0.0,0,0,0.9999031,-0.0493502228850576,72.1,,1
80,2055,5,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,2433.090024,513.75,436.5022909,1153,219,2055,513.75,436.5022909,1153,219,0,0.0,0.0,0,0,0,0,0,0,160,0,2433.090024,0.0,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,160,0,0,0,0,0,0,5,0,0,0,274,-1,0,32,0.0,0.0,0,0,0.0,0.0,0,0,0.9998412,-0.2121234369584551,43.1,,1
443,498186,1,1,6,31,6,6,6.0,0.0,31,31,31.0,0.0,74.26944956,4.014564841,498186.0,0.0,498186,498186,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,20,20,2.007282421,2.007282421,6,31,14.33333333,14.43375673,208.3333333,1,0,0,0,0,0,0,0,1,21.5,6.0,31.0,20,0,0,0,0,0,0,1,6,1,31,0,62,0,20,0.0,0.0,0,0,0.0,0.0,0,0,3.233954e-06,-0.1914128704065073,6.8,,0
53,30423,1,1,58,114,58,58,58.0,0.0,114,114,114.0,0.0,5653.617329,65.73973638,30423.0,0.0,30423,30423,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,20,20,32.86986819,32.86986819,58,114,76.66666667,32.33161507,1045.333333,0,0,0,0,0,0,0,0,1,115.0,58.0,114.0,20,0,0,0,0,0,0,1,58,1,114,-1,-1,0,20,0.0,0.0,0,0,0.0,0.0,0,0,1.2615839e-06,-0.2234338744441718,1.1,,0
53236,79,1,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,25316.4557,79.0,0.0,79,79,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,20,20,12658.22785,12658.22785,0,0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1,0.0,0.0,0.0,20,0,0,0,0,0,0,1,0,1,0,31088,63049,0,20,0.0,0.0,0,0,0.0,0.0,0,0,4.59622e-06,-0.1736973182980838,10.0,,0
53,160785,2,2,64,96,32,32,32.0,0.0,48,48,48.0,0.0,995.1177038,24.87794259,53595.0,92824.06688,160779,3,3,3.0,0.0,3,3,3,3.0,0.0,3,3,0,0,0,0,40,80,12.4389713,12.4389713,32,48,38.4,8.76356092,76.8,0,0,0,0,0,0,0,0,1,48.0,32.0,48.0,40,0,0,0,0,0,0,2,64,2,96,-1,-1,1,20,0.0,0.0,0,0,0.0,0.0,0,0,6.473225e-07,-0.2282380306190776,0.3,,0
53,77720,2,2,74,268,37,37,37.0,0.0,134,134,134.0,0.0,4400.411734,51.46680391,25906.66667,44865.60075,77713,3,4,4.0,0.0,4,4,3,3.0,0.0,3,3,0,0,0,0,80,64,25.73340196,25.73340196,37,134,75.8,53.12908808,2822.7,0,0,0,0,0,0,0,0,1,94.75,37.0,134.0,80,0,0,0,0,0,0,2,74,2,268,-1,-1,1,40,0.0,0.0,0,0,0.0,0.0,0,0,2.363855e-06,-0.2175384992989326,2.2,,0
53,23379,1,1,55,111,55,55,55.0,0.0,111,111,111.0,0.0,7100.389238,85.54685829,23379.0,0.0,23379,23379,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,32,20,42.77342915,42.77342915,55,111,73.66666667,32.33161507,1045.333333,0,0,0,0,0,0,0,0,1,110.5,55.0,111.0,32,0,0,0,0,0,0,1,55,1,111,-1,-1,0,32,0.0,0.0,0,0,0.0,0.0,0,0,2.548177e-06,-0.2261155596533212,0.6,,0
80,60515690,10,10,421,555,373,0,42.1,116.2816982,543,0,55.5,171.3082018,16.12804878,0.330492803,3185036.316,4731558.546,10000000,79,60300000,6705103.0,4952106.12,10100000,259,60500000,6718331.556,4992021.722,10100000,6954,0,0,0,0,212,284,0.165246401,0.165246401,0,543,46.47619048,139.4591765,19448.8619,0,0,0,1,0,0,0,0,1,48.8,42.1,55.5,212,0,0,0,0,0,0,10,421,10,555,8192,119,9,20,94242.33333,106361.194,311351,50597,9963412.167,79808.7513,10000000,9801581,1.8373844e-06,-0.1204041628972591,19.5,,0
53,23933,2,2,120,284,60,60,60.0,0.0,142,142,142.0,0.0,16880.45795,167.133247,7977.666667,13773.57507,23882,3,3,3.0,0.0,3,3,48,48.0,0.0,48,48,0,0,0,0,64,40,83.56662349,83.56662349,60,142,92.8,44.91324972,2017.2,0,0,0,0,0,0,0,0,1,116.0,60.0,142.0,64,0,0,0,0,0,0,2,120,2,284,-1,-1,1,32,0.0,0.0,0,0,0.0,0.0,0,0,2.329816e-06,-0.219685105255507,1.8,,0
443,516857,13,15,830,5347,389,0,63.84615385,124.3944306,1336,0,356.4666667,546.5295531,11951.08125,54.17359153,19142.85185,47322.25605,237968,1,511225,42602.08333,82148.09117,291985,1,484304,34593.14286,71889.52476,270661,1,0,0,0,0,428,488,25.15202464,29.02156689,0,1336,213.0,423.0303096,178954.6429,0,0,0,1,0,0,0,0,1,220.6071429,63.84615385,356.4666667,428,0,0,0,0,0,0,13,830,15,5347,65535,7240,5,32,0.0,0.0,0,0,0.0,0.0,0,0,4.5004393e-07,-0.1457971649496552,14.9,,0
53,24076,2,2,92,222,46,46,46.0,0.0,111,111,111.0,0.0,13042.03356,166.1405549,8025.333333,13856.13605,24025,3,48,48.0,0.0,48,48,3,3.0,0.0,3,3,0,0,0,0,40,40,83.07027745,83.07027745,46,111,72.0,35.60196624,1267.5,0,0,0,0,0,0,0,0,1,90.0,46.0,111.0,40,0,0,0,0,0,0,2,92,2,222,-1,-1,1,20,0.0,0.0,0,0,0.0,0.0,0,0,4.8713025e-07,-0.2299133877352942,0.0,,0
21,225,2,1,14,0,14,0,7.0,9.899494937,0,0,0.0,0.0,62222.22222,13333.33333,112.5,61.51828996,156,69,225,225.0,0.0,225,225,0,0.0,0.0,0,0,1,0,0,0,64,20,8888.888889,4444.444444,0,14,7.0,8.082903769,65.33333333,0,1,0,0,1,0,0,0,0,9.333333333,7.0,0.0,64,0,0,0,0,0,0,2,14,1,0,229,0,0,32,0.0,0.0,0,0,0.0,0.0,0,0,0.99985445,-0.1794999774835811,48.9,,1
443,6061845,9,5,597,2673,326,0,66.33333333,117.1750827,1460,2,534.6,710.53698,539.439725,2.309527875,466295.7692,1618501.335,5852586,3,6061845,757730.625,2058842.348,5852586,3,126733,31683.25,39011.76982,83361,171,0,0,0,0,200,104,1.484696491,0.824831384,0,1460,218.0,453.952326,206072.7143,0,0,0,1,0,0,0,0,0,233.5714286,66.33333333,534.6,200,0,0,0,0,0,0,9,597,5,2673,29200,34954,8,20,209256.0,0.0,209256,209256,5852586.0,0.0,5852586,5852586,4.574866e-06,-0.1272124517187456,18.2,,0
443,13935541,34,36,1882,43990,1542,0,55.35294118,265.80454,1587,0,1221.944444,482.1628026,3291.727246,5.023127556,201964.3623,1274377.739,9999166,1,13900000,422289.1212,1833974.234,9999166,1,10300000,293102.8286,1695386.102,10000000,2,0,0,0,0,1096,1160,2.439804813,2.583322743,0,1587,646.084507,703.9548838,495552.4785,0,0,0,1,0,0,0,0,1,655.3142857,55.35294118,1221.944444,1096,0,0,0,0,0,0,34,1882,36,43990,29200,391,3,32,259384.0,0.0,259384,259384,9999166.0,0.0,9999166,9999166,1.5908445e-06,-0.0477805516181271,32.4,,0
80,4,2,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,500000.0,4.0,0.0,4,4,4,4.0,0.0,4,4,0,0.0,0.0,0,0,0,0,0,0,64,0,500000.0,0.0,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,64,0,0,0,0,0,0,2,0,0,0,251,-1,0,32,0.0,0.0,0,0,0.0,0.0,0,0,0.9999424,-0.2057092687753736,44.3,,1
53,150599,1,1,53,100,53,53,53.0,0.0,100,100,100.0,0.0,1015.943001,13.28030067,150599.0,0.0,150599,150599,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,20,32,6.640150333,6.640150333,53,100,68.66666667,27.13546265,736.3333333,0,0,0,0,0,0,0,0,1,103.0,53.0,100.0,20,0,0,0,0,0,0,1,53,1,100,-1,-1,0,20,0.0,0.0,0,0,0.0,0.0,0,0,6.607316e-07,-0.2230844339938784,1.2,,0
53,283,2,2,80,358,40,40,40.0,0.0,179,179,179.0,0.0,1547703.18,14134.27562,94.33333333,79.38723659,186,48,49,49.0,0.0,49,49,48,48.0,0.0,48,48,0,0,0,0,64,64,7067.137809,7067.137809,40,179,95.6,76.13343549,5796.3,0,0,0,0,0,0,0,0,1,119.5,40.0,179.0,64,0,0,0,0,0,0,2,80,2,358,-1,-1,1,32,0.0,0.0,0,0,0.0,0.0,0,0,6.76354e-06,-0.2195112007446326,1.8,,0
51671,92,3,1,31,0,31,0,10.33333333,17.89785834,0,0,0.0,0.0,336956.5217,43478.26087,30.66666667,49.66219219,88,1,4,2.0,1.414213562,3,1,0,0.0,0.0,0,0,0,0,0,0,60,20,32608.69565,10869.56522,0,31,6.2,13.86362146,192.2,0,0,0,0,1,0,0,0,0,7.75,10.33333333,0.0,60,0,0,0,0,0,0,3,31,1,0,980,0,1,20,0.0,0.0,0,0,0.0,0.0,0,0,8.8031996e-08,-0.2072351665042541,4.0,,0
80,100870677,8,6,373,11595,373,0,46.625,131.8754147,4344,0,1932.5,1754.831473,118.6469681,0.138791574,7759282.846,27600000.0,99700000,3,101000000,14400000.0,37600000.0,99700000,3,143466,28693.2,58043.05634,132180,49,0,0,0,0,272,200,0.079309471,0.059482103,0,4344,797.8666667,1424.148009,2028197.552,0,0,0,0,1,0,0,0,0,854.8571429,46.625,1932.5,272,0,0,0,0,0,0,8,373,6,11595,251,235,1,32,991.0,0.0,991,991,99700000.0,0.0,99700000,99700000,0.99999857,0.0908675623801243,97.1,,1
53,52633050,2,2,114,184,61,53,57.0,5.656854249,107,77,92.0,21.21320344,5.661841752,0.075997876,17500000.0,30300000.0,52500000,48306,52600000,52600000.0,0.0,52600000,52600000,52600000,52600000.0,0.0,52600000,52600000,0,0,0,0,40,52,0.037998938,0.037998938,53,107,71.8,21.52208168,463.2,0,0,0,0,0,0,0,0,1,89.75,57.0,92.0,40,0,0,0,0,0,0,2,114,2,184,-1,-1,1,20,48306.0,0.0,48306,48306,52500000.0,0.0,52500000,52500000,1.0000055e-05,-0.0161829661835183,38.0,,0
443,116794478,23,20,1301,9661,510,0,56.56521739,140.4686397,2659,0,483.05,783.7406576,93.85717705,0.368168091,2780820.905,4487434.37,10200000,4,117000000,5308839.909,5054910.832,10200000,4,114000000,6003589.579,5087881.548,10200000,48,0,0,0,0,744,648,0.196927118,0.171240973,0,2659,249.1363636,572.9185823,328235.7019,0,0,0,1,0,0,0,0,0,254.9302326,56.56521739,483.05,744,0,0,0,0,0,0,23,1301,20,9661,29200,126,5,32,186332.6364,519393.5249,1752363,29526,10200000.0,70189.20957,10200000,9979988,1.7440525e-06,-0.0659293299549648,29.2,,0
80,84779296,5,8,361,11595,349,0,72.2,154.7649831,7240,0,1449.375,2446.639966,141.0249974,0.153339325,7064941.333,24400000.0,84600000,4,84600000,21200000.0,42300000.0,84600000,5,84800000,12100000.0,32000000.0,84600000,47,0,0,0,0,144,264,0.058976663,0.094362661,0,7240,854.4285714,1933.690522,3739159.033,1,0,0,0,0,0,0,0,1,920.1538462,72.2,1449.375,144,0,0,0,0,0,0,5,361,8,11595,0,235,2,20,11991.0,0.0,11991,11991,84600000.0,0.0,84600000,84600000,0.9999982,0.1205003547954552,100.0,,1
53,75927,2,2,74,212,37,37,37.0,0.0,106,106,106.0,0.0,3766.775982,52.68218157,25309.0,43791.44661,75875,3,3,3.0,0.0,3,3,49,49.0,0.0,49,49,0,0,0,0,64,64,26.34109078,26.34109078,37,106,64.6,37.79285647,1428.3,0,0,0,0,0,0,0,0,1,80.75,37.0,106.0,64,0,0,0,0,0,0,2,74,2,212,-1,-1,1,32,0.0,0.0,0,0,0.0,0.0,0,0,1.8610722e-06,-0.2297991344666353,0.0,,0
51013,167,1,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,11976.0479,167.0,0.0,167,167,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,32,32,5988.023952,5988.023952,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,122,33304,0,32,0.0,0.0,0,0,0.0,0.0,0,0,5.3751205e-06,-0.2062853114670352,4.2,,0
443,115674155,20,17,740,3521,382,0,37.0,95.00470902,1460,0,207.1176471,481.9180276,36.83623191,0.319864018,3213170.972,4619619.75,10000000,3,116000000,6088113.421,4912646.622,10100000,3,111000000,6958090.438,4810130.03,10100000,245,0,0,0,0,412,484,0.172899469,0.146964549,0,1460,112.1315789,335.5616648,112601.6309,0,0,0,1,0,0,0,0,0,115.1621622,37.0,207.1176471,412,0,0,0,0,0,0,20,740,17,3521,8192,123,15,20,118885.0,75695.71635,347116,95955,10000000.0,4314.107459,10000000,9992761,1.5265292e-07,-0.1074404313253309,21.8,,0
80,5049090,3,1,12,0,6,0,4.0,3.464101615,0,0,0.0,0.0,2.376665894,0.792221965,1683030.0,2894799.146,5025629,67,5049090,2524545.0,3537066.913,5025629,23461,0,0.0,0.0,0,0,0,0,0,0,72,28,0.594166474,0.198055491,0,6,2.4,3.286335345,10.8,0,0,0,1,0,0,0,0,0,3.0,4.0,0.0,72,0,0,0,0,0,0,3,12,1,0,8192,4380,2,20,0.0,0.0,0,0,0.0,0.0,0,0,5.0954345e-06,-0.1842508740986114,8.1,,0
